machine_code,ft_min,ft_max,ft_lo,ft_hi,ft_mean,ft_std,ft_sig_l,ft_sig_h,tt_min,tt_max,tt_lo,tt_hi,tt_mean,tt_std,tt_sig_l,tt_sig_h,tp_min,tp_max,tp_lo,tp_hi,tp_mean,tp_std,tp_sig_l,tp_sig_h,pc_min,pc_max,pc_lo,pc_hi,pc_mean,pc_std,pc_sig_l,pc_sig_h
valve22,1798.0,1980.0,1798.9628941281596,1966.9628941281596,1914.6368460737083,73.01830808452094,37.53811267579949,16.49469535136334,241.0,343.0,237.70995440170077,329.70995440170077,298.94062933480683,38.53914870406396,39.917705008625106,31.62692306338075,197.0,260.0,202.14906930164446,261.14906930164443,237.39910728161206,25.44159300278506,39.36408019469178,38.84039228516449,2489.0,2524.0,2491.9927931484203,2523.9927931484203,2511.5187105909167,14.028653316839243,28.80501515951022,20.754676908484505
valve23,1798.0,1980.0,1804.6252810599722,1971.6252810599722,1912.21370300767,74.02766879354863,16.233907301677537,35.736582449207404,226.0,350.0,234.74027717205394,337.74027717205394,301.29060649360747,43.20903443497777,39.98891962250514,29.778587084177172,199.0,234.0,201.41590230052148,234.41590230052148,221.21785835882395,14.334017631583464,27.65725903376683,23.501959963963813,2493.0,2515.0,2494.4330808644086,2514.4330808644086,2506.915442625324,8.889039366514707,21.654097771553843,13.4838116142937
valve24,1798.0,1980.0,1796.3637344099773,1963.3637344099773,1912.5776087492363,73.91451612968825,33.11541242779791,9.554632326281943,326.0,422.0,323.99043950620853,408.99043950620853,383.6111846406104,36.086422437457585,33.95032545220576,12.885897631442045,199.0,234.0,202.48240480805035,235.48240480805035,221.2752033522307,14.317467736583318,16.492985475750068,23.61662402524915,2493.0,2515.0,2495.63602133104,2515.63602133104,2506.9578372324804,8.8741940180906,6.995591508375726,13.031892495313178
valve25,1754.0,1936.0,1754.6756466738,1921.6756466738,1868.6565749480083,73.87643432079996,28.10700927990329,16.696698260686112,230.0,327.0,229.65251631548523,318.65251631548523,286.96656534954406,38.440817228348386,16.372304545039086,25.35986429135566,199.0,234.0,202.87993039543395,235.87993039543395,221.29295390858505,14.307983999928789,10.423143441559905,21.680970781392908,2493.0,2515.0,2493.8293499440797,2513.8293499440797,2506.967103842329,8.871794754376591,2.4855484664527383,3.5443042440447408
valve26,1853.0,2035.0,1857.5862670094484,2024.5862670094484,1967.776011471609,73.80081353575606,21.538276141996885,28.328761244276738,226.0,350.0,234.55801178880398,337.558011788804,301.718487248556,43.15396012347163,39.804284220909864,27.439250696523192,199.0,234.0,201.42326637626482,234.42326637626482,221.32548278588564,14.289378211847279,26.88225945046452,22.661135573618406,2493.0,2515.0,2495.0904484715243,2515.0904484715243,2506.978595263941,8.862099023605534,12.82456975588495,13.484623664567978
valve27,1798.0,1980.0,1809.6784100400764,1976.6784100400764,1912.3602301240137,73.9731621495977,13.821036044334814,52.93399575245407,226.0,350.0,234.35926776252614,337.35926776252614,301.37841932699683,43.197916196110384,38.739549351867964,27.50934004801003,199.0,234.0,201.92170358446407,234.92170358446407,221.23662798310144,14.323574137654834,4.026053548555216,14.199928423057699,2493.0,2515.0,2495.6426050377427,2515.6426050377427,2506.928100942461,8.883216167608111,6.512901057236297,12.911026673591843
valve28,1798.0,1980.0,1808.0263484304458,1975.0263484304458,1912.6590269165465,73.86305771034544,15.158713486861908,46.270019110823654,226.0,393.0,235.0971603654229,374.0971603654229,326.3685230230417,59.02359490773182,41.21371034594331,36.77741500461667,196.0,267.0,199.60520344814358,264.6052034481436,240.57047315656828,28.590699500727062,7.128392802461283,17.419553150843015,2493.0,2515.0,2495.367755973206,2515.367755973206,2506.9667441111583,8.867546447471549,10.192450346746925,13.581493683386348
valve29,1798.0,1980.0,1811.065932002329,1978.065932002329,1912.2986480775096,74.0249347546906,14.211448215911346,58.48173117103759,226.0,350.0,235.23767407795174,338.23767407795174,301.3054397894275,43.19560948263608,39.19693539427252,31.22715840240665,199.0,234.0,198.7967345993572,231.7967345993572,221.22603106158283,14.332505570507564,5.91008166714452,3.5004273403950013,2493.0,2515.0,2494.4712213462353,2514.4712213462353,2506.923426724945,8.888425249592794,20.80247078505,13.42553563430054
valve30,1798.0,1980.0,1810.6971600781342,1977.6971600781342,1912.4842511260658,73.93331747967505,14.61985630825663,56.59199106266168,226.0,393.0,234.9700148967308,373.9700148967308,326.24829351535834,59.098138040619716,40.17886390251036,36.27811058934594,196.0,267.0,202.43542415162355,267.4354241516236,240.5022655054725,28.62291707871619,9.987451368776092,29.615333596529336,2493.0,2515.0,2493.840893767484,2513.840893767484,2506.9388687986134,8.880660983855925,39.29335174622685,12.908350427765166
valve31,1718.0,1900.0,1728.860454644342,1896.860454644342,1832.5908330634866,73.93623640205152,15.39701723976302,51.12983117702494,226.0,350.0,235.16455385905374,338.16455385905374,301.4543566632501,43.12777863732572,38.23009025719886,29.99456687433787,199.0,234.0,202.45250045668848,235.45250045668848,221.2787386697853,14.316887848755748,16.811164468645067,23.628689402724355,2493.0,2515.0,2494.919569703359,2514.919569703359,2506.9611661657777,8.87635127074876,14.813523698638328,13.582133944757178
valve32,1798.0,1980.0,1799.414371096895,1966.414371096895,1912.3833109811706,73.9550656972934,25.5404808317274,19.485061803917834,226.0,350.0,235.1008539021111,338.1008539021111,301.5084625288343,43.260551033686745,37.27646890600278,29.15350423130586,199.0,234.0,202.7908976998036,235.7908976998036,221.2442820778984,14.322454718565455,12.67552857069126,22.970829603368305,2493.0,2515.0,2495.2556043512072,2515.2556043512072,2506.93135274758,8.880813637590755,11.263405005504337,13.78933714045338
valve33,1748.0,1930.0,1748.5850536938985,1916.5850536938985,1864.5732667999252,73.12770529440853,37.79708419510647,15.365151744737027,241.0,343.0,236.40545739159268,328.4054573915927,298.9686851982341,38.634461666741494,32.27008551872906,22.858658340434324,197.0,260.0,202.9175875616362,261.9175875616362,237.38357180862536,25.481104956319992,10.57127969571564,27.455887772114977,2489.0,2524.0,2493.471928894161,2525.471928894161,2511.5013186844794,14.049645746729805,7.231874999669282,17.759077867918123
valve34,1798.0,1980.0,1812.603500943138,1979.603500943138,1912.423807636907,73.93343970845493,16.741414073490667,64.86982506991504,226.0,350.0,234.5298876735128,337.5298876735128,301.48801077370405,43.234842019085754,39.61059356674014,28.106908532916524,199.0,234.0,199.49850136143854,232.49850136143854,221.25682593399767,14.318207667755543,4.655718020374444,5.4220163170924245,2493.0,2515.0,2495.4243792867946,2515.4243792867946,2506.9456788602974,8.875019182803497,3.526331752073045,10.16420955979834
